===== Simulator configuration =====
BLOCKSIZE:		 32
L1_SIZE:		 131072
L1_ASSOC:		 2
L2_SIZE:		 0
L2_ASSOC:		 0
REPLACEMENT POLICY:	 LRU
INCLUSION PROPERTY:	 non-inclusive
trace_file:		 ./traces/gcc_trace.txt
===== L1 contents =====
Set 	0:		4005 D  4003 D  
Set 	301:		0    0    
Set 	302:		4000    0    
Set 	303:		4000    0    
Set 	304:		0    0    
Set 	305:		4000    4003 D  
Set 	306:		4003    4004    
Set 	307:		0    0    
Set 	308:		0    0    
Set 	309:		4004 D  4003 D  
Set 	310:		0    0    
Set 	311:		4000    0    
Set 	312:		0    0    
Set 	313:		4003 D  0    
Set 	314:		0    0    
Set 	315:		0    0    
Set 	316:		4003 D  0    
Set 	317:		0    0    
Set 	318:		4000    0    
Set 	319:		0    0    
Set 	320:		0    0    
Set 	321:		0    0    
Set 	322:		4000    0    
Set 	323:		0    0    
Set 	324:		4004    0    
Set 	325:		0    0    
Set 	326:		0    0    
Set 	327:		0    0    
Set 	328:		0    0    
Set 	329:		0    0    
Set 	330:		4003 D  4004 D  
Set 	331:		4003 D  4004 D  
Set 	332:		4004 D  4003 D  
Set 	333:		4004 D  0    
Set 	334:		4003 D  4004 D  
Set 	335:		4004 D  0    
Set 	336:		4004 D  0    
Set 	337:		4004 D  0    
Set 	338:		4004 D  0    
Set 	339:		4003 D  4004 D  
Set 	340:		4004 D  0    
Set 	341:		4004 D  0    
Set 	342:		4004 D  0    
Set 	343:		4004 D  0    
Set 	344:		4004 D  0    
Set 	345:		4003 D  4004 D  
Set 	346:		4004 D  0    
Set 	347:		4003 D  4004 D  
Set 	348:		4004 D  0    
Set 	349:		4004 D  0    
Set 	350:		4235    4004 D  
Set 	351:		4235    4004 D  
Set 	352:		4004 D  0    
Set 	353:		4004 D  0    
Set 	354:		4004 D  0    
Set 	355:		4003 D  4004 D  
Set 	356:		4004 D  0    
Set 	357:		4004 D  4003 D  
Set 	358:		4002 D  4004 D  
Set 	359:		4004 D  0    
Set 	360:		4003 D  4004 D  
Set 	361:		4003 D  4004 D  
Set 	362:		4004 D  0    
Set 	363:		4004 D  0    
Set 	364:		4003 D  4004 D  
Set 	365:		4004 D  0    
Set 	366:		4003 D  4004 D  
Set 	367:		4002 D  4004 D  
Set 	368:		4004 D  4005 D  
Set 	369:		4005 D  4004 D  
Set 	370:		4004 D  4005 D  
Set 	371:		4005 D  4004 D  
Set 	372:		4004 D  4005 D  
Set 	373:		4004 D  4005 D  
Set 	374:		4004 D  4005 D  
Set 	375:		4004 D  4005 D  
Set 	376:		4005 D  4004 D  
Set 	377:		4005 D  4004 D  
Set 	378:		4004 D  4005 D  
Set 	379:		4004 D  4005 D  
Set 	380:		4004 D  4005 D  
Set 	381:		4004 D  4005 D  
Set 	382:		4004 D  4005 D  
Set 	383:		4003 D  4005 D  
Set 	384:		4003 D  4005 D  
Set 	385:		4003 D  4005 D  
Set 	386:		4003 D  4005 D  
Set 	387:		4004 D  4005 D  
Set 	388:		4004 D  4005 D  
Set 	389:		4004 D  4005 D  
Set 	390:		4004 D  4005 D  
Set 	391:		4004 D  4005 D  
Set 	392:		4004 D  4005 D  
Set 	393:		4004 D  4005 D  
Set 	394:		4004 D  4005 D  
Set 	395:		4005 D  4004 D  
Set 	396:		4005 D  4004 D  
Set 	397:		4005 D  4004 D  
Set 	398:		4005 D  4004 D  
Set 	399:		4005 D  4004 D  
Set 	400:		4005 D  4004 D  
Set 	401:		4005 D  4004 D  
Set 	402:		4005 D  4004 D  
Set 	403:		4005 D  4004 D  
Set 	404:		4005 D  4004 D  
Set 	405:		4005 D  4004 D  
Set 	406:		4005 D  4004 D  
Set 	407:		4005 D  4004 D  
Set 	408:		4005 D  4004 D  
Set 	409:		4005 D  4004 D  
Set 	410:		4005 D  4004 D  
Set 	411:		4005 D  4004 D  
Set 	412:		4005 D  4004 D  
Set 	413:		4005 D  4004 D  
Set 	414:		4005 D  4004 D  
Set 	415:		4004 D  4005 D  
Set 	416:		4004 D  4005 D  
Set 	417:		4005 D  4004 D  
Set 	418:		4005 D  4004 D  
Set 	419:		4005 D  4004 D  
Set 	420:		4005 D  4004 D  
Set 	421:		4005 D  4004 D  
Set 	422:		4005 D  4004 D  
Set 	423:		4005 D  4004 D  
Set 	424:		4005 D  4004 D  
Set 	425:		4005 D  4004 D  
Set 	426:		4005 D  4004 D  
Set 	427:		4005 D  4004 D  
Set 	428:		4005 D  4004 D  
Set 	429:		4005 D  4004 D  
Set 	430:		4005 D  4004 D  
Set 	431:		4005 D  4004 D  
Set 	432:		4005 D  4004 D  
Set 	433:		4005 D  4004 D  
Set 	434:		4005 D  4004 D  
Set 	435:		4005 D  4004 D  
Set 	436:		4005 D  4004 D  
Set 	437:		4005 D  4004 D  
Set 	438:		4005 D  4004 D  
Set 	439:		4005 D  4004 D  
Set 	440:		4005 D  4004 D  
Set 	441:		4005 D  4004 D  
Set 	442:		4005 D  4004 D  
Set 	443:		4004 D  4005 D  
Set 	444:		4005 D  4004 D  
Set 	445:		4004 D  4005 D  
Set 	446:		4005 D  4004 D  
Set 	447:		4005 D  4004 D  
Set 	448:		4005 D  4004 D  
Set 	449:		4005 D  4004 D  
Set 	450:		4005 D  4004 D  
Set 	451:		4005 D  4004 D  
Set 	452:		4004 D  4005 D  
Set 	453:		4005 D  4004 D  
Set 	454:		4005 D  4004 D  
Set 	455:		4004 D  4005 D  
Set 	456:		7b03 D  4005 D  
Set 	457:		7b03 D  4005 D  
Set 	458:		4005 D  4004 D  
Set 	459:		4005 D  7b03 D  
Set 	460:		4005 D  4004 D  
Set 	461:		4005 D  4004 D  
Set 	462:		4005 D  4004 D  
Set 	463:		4004 D  4005 D  
Set 	464:		7b03 D  4005 D  
Set 	465:		4005 D  4004 D  
Set 	466:		4004 D  4005 D  
Set 	467:		4004 D  4005 D  
Set 	468:		4005 D  4004 D  
Set 	469:		4005 D  4004 D  
Set 	470:		4004 D  4005 D  
Set 	471:		4004 D  4005 D  
Set 	472:		4005 D  4004 D  
Set 	473:		4004 D  4005 D  
Set 	474:		4005 D  4004 D  
Set 	475:		4004 D  4005 D  
Set 	476:		4004 D  4005 D  
Set 	477:		4004 D  4005 D  
Set 	478:		4004 D  4005 D  
Set 	479:		4004 D  4005 D  
Set 	480:		4005 D  4004 D  
Set 	481:		4005 D  4003 D  
Set 	482:		4005 D  4004 D  
Set 	483:		4005 D  4004 D  
Set 	484:		4004 D  4005 D  
Set 	485:		4005 D  4004 D  
Set 	486:		4005 D  4004 D  
Set 	487:		4005 D  4004 D  
Set 	488:		4005 D  4004 D  
Set 	489:		4005 D  4003 D  
Set 	490:		4005 D  4004 D  
Set 	491:		4005 D  4004 D  
Set 	492:		4005 D  4004 D  
Set 	493:		4005 D  4004 D  
Set 	494:		4005 D  4004 D  
Set 	495:		4005 D  4004 D  
Set 	496:		4005 D  4004 D  
Set 	497:		4005 D  4004 D  
Set 	498:		4005 D  4004 D  
Set 	499:		4005 D  4004 D  
Set 	500:		4005 D  4004 D  
Set 	501:		4005 D  4004 D  
Set 	502:		4005 D  4004 D  
Set 	503:		4005 D  4004 D  
Set 	504:		4005 D  4003 D  
Set 	505:		4005 D  4004 D  
Set 	506:		4005 D  4004 D  
Set 	507:		4005 D  4004 D  
Set 	508:		4005 D  4004 D  
Set 	509:		4005 D  4004 D  
Set 	510:		4005 D  4004 D  
Set 	511:		4005 D  4004 D  
Set 	512:		4005 D  4004 D  
Set 	513:		4005 D  4004 D  
Set 	514:		4005 D  4004 D  
Set 	515:		4005 D  4004 D  
Set 	516:		4005 D  4004 D  
Set 	517:		4005 D  4004 D  
Set 	518:		4005 D  4004 D  
Set 	519:		4004 D  4005 D  
Set 	520:		4004 D  4005 D  
Set 	521:		4004 D  4005 D  
Set 	522:		4005 D  4004 D  
Set 	523:		4005 D  4004 D  
Set 	524:		4005 D  4004 D  
Set 	525:		4005 D  4004 D  
Set 	526:		4005 D  4004 D  
Set 	527:		4005 D  4004 D  
Set 	528:		4005 D  4004 D  
Set 	529:		4005 D  4004 D  
Set 	530:		4005 D  4004 D  
Set 	531:		4005 D  4004 D  
Set 	532:		4005 D  4004 D  
Set 	533:		4005 D  4004 D  
Set 	534:		4005 D  4004 D  
Set 	535:		4005 D  4004 D  
Set 	536:		4005 D  4004 D  
Set 	537:		4005 D  4004 D  
Set 	538:		4005 D  4004 D  
Set 	539:		4005 D  4004 D  
Set 	540:		4004 D  4005 D  
Set 	541:		4004 D  4005 D  
Set 	542:		4004 D  4005 D  
Set 	543:		4004 D  4005 D  
Set 	544:		4004 D  4005 D  
Set 	545:		4004 D  4005 D  
Set 	546:		4004 D  4005 D  
Set 	547:		4004 D  4005 D  
Set 	548:		4005 D  4004 D  
Set 	549:		4004 D  4005 D  
Set 	550:		4004 D  4005 D  
Set 	551:		4004 D  4005 D  
Set 	552:		4004 D  4005 D  
Set 	553:		4004 D  4005 D  
Set 	554:		4005 D  4004 D  
Set 	555:		4005 D  4004 D  
Set 	556:		4005 D  4004 D  
Set 	557:		4004 D  4005 D  
Set 	558:		4005 D  4003 D  
Set 	559:		4005 D  4004 D  
Set 	560:		4004 D  4005 D  
Set 	561:		4003 D  4005 D  
Set 	562:		4004 D  4005 D  
Set 	563:		4003 D  4005 D  
Set 	564:		4003 D  4005 D  
Set 	565:		4003 D  4005 D  
Set 	566:		4005 D  4004 D  
Set 	567:		4003 D  4005 D  
Set 	568:		4003 D  4005 D  
Set 	569:		4003 D  4005 D  
Set 	570:		4003 D  4005 D  
Set 	571:		4003 D  4005 D  
Set 	572:		4003 D  4005 D  
Set 	573:		4003 D  4005 D  
Set 	574:		4003 D  4005 D  
Set 	575:		4003 D  4005 D  
Set 	576:		4003 D  4005 D  
Set 	577:		4003 D  4005 D  
Set 	578:		4003 D  4005 D  
Set 	579:		4003 D  4005 D  
Set 	580:		4003 D  4005 D  
Set 	581:		4003 D  4005 D  
Set 	582:		4003 D  4005 D  
Set 	583:		4003 D  4005 D  
Set 	584:		4003 D  4005 D  
Set 	585:		4003 D  4005 D  
Set 	586:		4003 D  4005 D  
Set 	587:		4003 D  4005 D  
Set 	588:		4003 D  4005 D  
Set 	589:		4003 D  4005 D  
Set 	590:		4003 D  4005 D  
Set 	591:		4003 D  4005 D  
Set 	592:		4003 D  4005 D  
Set 	593:		4005 D  4003 D  
Set 	594:		4005 D  4003 D  
Set 	595:		4005 D  4003 D  
Set 	596:		4003 D  4005 D  
Set 	597:		4003 D  4005 D  
Set 	598:		4003 D  4005 D  
Set 	599:		4005 D  4003 D  
Set 	600:		4003 D  4005 D  
Set 	601:		4003 D  4005 D  
Set 	602:		4003 D  4005 D  
Set 	603:		4005 D  4003 D  
Set 	604:		4005 D  4003 D  
Set 	605:		4005 D  4003 D  
Set 	606:		4005 D  4003 D  
Set 	607:		4003 D  4005 D  
Set 	608:		4005 D  4003 D  
Set 	609:		4005 D  4003 D  
Set 	610:		4003 D  4005 D  
Set 	611:		4003 D  4005 D  
Set 	612:		4003 D  4005 D  
Set 	613:		4005 D  4003 D  
Set 	614:		4005 D  4003 D  
Set 	615:		4005 D  4003 D  
Set 	616:		4003 D  4005 D  
Set 	617:		4003 D  4005 D  
Set 	618:		4005 D  4003 D  
Set 	619:		4005 D  4003 D  
Set 	620:		4003 D  4005 D  
Set 	621:		4003 D  4005 D  
Set 	622:		4003 D  4005 D  
Set 	623:		7b03 D  4005 D  
Set 	624:		4005 D  0    
Set 	625:		4000    4005 D  
Set 	626:		4005 D  0    
Set 	627:		4000    4005 D  
Set 	628:		4005 D  4000    
Set 	629:		4005 D  4000    
Set 	630:		4005 D  4000    
Set 	631:		4005 D  4000    
Set 	632:		4005 D  4000    
Set 	633:		4005 D  4000    
Set 	634:		4005 D  4000    
Set 	635:		4005 D  4000    
Set 	636:		4005 D  4003 D  
Set 	637:		4005 D  4003 D  
Set 	638:		4005 D  4003 D  
Set 	639:		4005 D  4003 D  
Set 	640:		4005 D  4000    
Set 	641:		4000    4005 D  
Set 	642:		4005 D  4000    
Set 	643:		4005 D  4000    
Set 	644:		4005 D  4000    
Set 	645:		4005 D  4000    
Set 	646:		4005 D  4000    
Set 	647:		4235    4005 D  
Set 	648:		4235    4005 D  
Set 	649:		4235    4005 D  
Set 	650:		7b03 D  4005 D  
Set 	651:		4235    4005 D  
Set 	652:		7b03 D  4005 D  
Set 	653:		4235    4005 D  
Set 	654:		4005 D  4003 D  
Set 	655:		4235 D  4005 D  
Set 	656:		7b03 D  4005 D  
Set 	657:		4005 D  0    
Set 	658:		4005 D  4003 D  
Set 	659:		4005 D  4003    
Set 	660:		4235    4005 D  
Set 	661:		4235    4005 D  
Set 	662:		4235    4005 D  
Set 	663:		4005 D  4003    
Set 	664:		4235    4005 D  
Set 	665:		4235    4005 D  
Set 	666:		4235    4005 D  
Set 	667:		4235    4005 D  
Set 	668:		4235 D  4005 D  
Set 	669:		4235    4005 D  
Set 	670:		4235    4005 D  
Set 	671:		4003 D  4005 D  
Set 	672:		4235    4005 D  
Set 	673:		4005 D  0    
Set 	674:		4235    4005 D  
Set 	675:		4235 D  4005 D  
Set 	676:		4235    4005 D  
Set 	677:		4235 D  4005 D  
Set 	678:		4235 D  4005 D  
Set 	679:		4235 D  4005 D  
Set 	680:		4005 D  4003    
Set 	681:		4003    4005 D  
Set 	682:		4003    4005 D  
Set 	683:		4003    4005 D  
Set 	684:		4005 D  4003    
Set 	685:		4005 D  0    
Set 	686:		4235    4005 D  
Set 	687:		4235    4005 D  
Set 	688:		4003    4005 D  
Set 	689:		4235    4005 D  
Set 	690:		4235    4005 D  
Set 	691:		4235    4005 D  
Set 	692:		4235    4005 D  
Set 	693:		4235 D  4005 D  
Set 	694:		4235 D  4005 D  
Set 	695:		4235    4005 D  
Set 	696:		4235 D  4005 D  
Set 	697:		4235    4005 D  
Set 	698:		4003 D  4005 D  
Set 	699:		4005 D  4003 D  
Set 	700:		4005 D  4003    
Set 	701:		4005 D  4003 D  
Set 	702:		4005 D  0    
Set 	703:		4005 D  0    
Set 	704:		4005 D  0    
Set 	705:		4005 D  0    
Set 	706:		4005 D  0    
Set 	707:		4003 D  4005 D  
Set 	708:		4005 D  4003 D  
Set 	709:		4235    4005 D  
Set 	710:		4005 D  4003 D  
Set 	711:		4005 D  4003    
Set 	712:		4235    4005 D  
Set 	713:		4235    4005 D  
Set 	714:		4235    4005 D  
Set 	715:		4235    4005 D  
Set 	716:		4005 D  0    
Set 	717:		4005 D  0    
Set 	718:		4005 D  4003    
Set 	719:		4235    4005 D  
Set 	720:		4005 D  0    
Set 	721:		4005 D  0    
Set 	722:		4005 D  0    
Set 	723:		4005 D  0    
Set 	724:		4003 D  4005 D  
Set 	725:		4003 D  4005 D  
Set 	726:		4003 D  4005 D  
Set 	727:		4005 D  0    
Set 	728:		4005 D  0    
Set 	729:		4005 D  0    
Set 	730:		4005 D  0    
Set 	731:		4005 D  0    
Set 	732:		4003 D  4005 D  
Set 	733:		4005 D  0    
Set 	734:		4003 D  4005 D  
Set 	735:		4005 D  4003 D  
Set 	736:		4005 D  0    
Set 	737:		4003 D  4005 D  
Set 	738:		4005 D  0    
Set 	739:		4005 D  0    
Set 	740:		4005 D  0    
Set 	741:		4005 D  0    
Set 	742:		4005 D  0    
Set 	743:		4005 D  0    
Set 	744:		4005 D  0    
Set 	745:		4005 D  0    
Set 	746:		4003 D  4005 D  
Set 	747:		4005 D  0    
Set 	748:		4005 D  0    
Set 	749:		4005 D  0    
Set 	750:		4005 D  0    
Set 	751:		4005 D  0    
Set 	752:		4005 D  0    
Set 	753:		4005 D  0    
Set 	754:		4005 D  0    
Set 	755:		4005 D  0    
Set 	756:		4005 D  0    
Set 	757:		4005 D  0    
Set 	758:		4005 D  0    
Set 	759:		4005 D  4003 D  
Set 	760:		4005 D  0    
Set 	761:		4005 D  0    
Set 	762:		4005 D  0    
Set 	763:		4005 D  0    
Set 	764:		4003 D  4005 D  
Set 	765:		4003 D  4005 D  
Set 	766:		4005 D  0    
Set 	767:		4005 D  0    
Set 	768:		4005 D  0    
Set 	769:		4005 D  0    
Set 	770:		4005 D  0    
Set 	771:		4005 D  4003 D  
Set 	772:		4005 D  0    
Set 	773:		4005 D  0    
Set 	774:		4005 D  0    
Set 	775:		4005 D  0    
Set 	776:		4005 D  0    
Set 	777:		4005 D  0    
Set 	778:		4005 D  0    
Set 	779:		4005 D  0    
Set 	780:		4005 D  0    
Set 	781:		4005 D  0    
Set 	782:		4005 D  0    
Set 	783:		4005 D  0    
Set 	784:		4005 D  0    
Set 	785:		4005 D  0    
Set 	786:		4005 D  0    
Set 	787:		4005 D  0    
Set 	788:		4005 D  0    
Set 	789:		0    0    
Set 	790:		0    0    
Set 	791:		0    0    
Set 	792:		0    0    
Set 	793:		0    0    
Set 	794:		4003 D  0    
Set 	795:		0    0    
Set 	796:		0    0    
Set 	797:		0    0    
Set 	798:		0    0    
Set 	799:		0    0    
Set 	800:		0    0    
Set 	801:		4013    0    
Set 	802:		0    0    
Set 	803:		0    0    
Set 	804:		4013    0    
Set 	805:		4003 D  0    
Set 	806:		4013    4003 D  
Set 	807:		4003 D  0    
Set 	808:		4013 D  4003 D  
Set 	809:		4003 D  0    
Set 	810:		4003 D  0    
Set 	811:		4003 D  0    
Set 	812:		0    0    
Set 	813:		4003 D  0    
Set 	814:		4003 D  0    
Set 	815:		4003 D  0    
Set 	816:		0    0    
Set 	817:		0    0    
Set 	818:		0    0    
Set 	819:		0    0    
Set 	820:		0    0    
Set 	821:		0    0    
Set 	822:		0    0    
Set 	823:		4004 D  0    
Set 	824:		4004 D  0    
